2	嘉太郵局	612931
2	郵局	612906
1	平坪林郵局	411913
2	宜欣郵局	411943
2	永豐路郵局	411960
2	竹仔坑郵局	411914
2	郵局	411934
2	長億郵局	411910
1	麻里郵局	963913
0	學甲郵局	726900
0	安定郵局	745909
0	官田工業區郵局	720912
2	隆田郵局	720911
0	宜蘭中山路郵局	260900
2	大學郵局	260910
2	東港路郵局	260908
2	縣政府郵局	260917
2	金六結郵局	260901
0	富里東里郵局	983937
2	郵局	983936
0	寶山大崎郵局	300932
2	郵局	308913
0	將軍郵局	725994
0	小港機場郵局	812937
2	郵局	812929
0	尖石郵局	313953
0	屏東中正路郵局	900918
2	公館郵局	900917
2	六塊厝郵局	900921
2	勝利路郵局	900920
2	北平路郵局	900904
2	厚生郵局	900922
2	崇蘭郵局	900905
2	廣東路郵局	900919
2	林森路郵局	900902
2	歸來郵局	900909
2	民生路郵局	900900
2	永安郵局	900915
2	海豐郵局	900916
2	頭前溪郵局	900924
0	山上郵局	743986
0	岡山五甲尾郵局	820954
2	仁壽路郵局	820953
2	大仁郵局	820962
2	平和路郵局	820952
2	郵局	820939
0	峨眉郵局	315958
0	崁頂郵局	924957
0	崙背郵局	637925
0	左營南站郵局	813913
2	新莊仔郵局	813955
2	果貿郵局	813914
2	榮總郵局	813974
2	福山郵局	813989
2	菜公郵局	813988
2	華夏路郵局	813901
2	郵局	813907
1	鎮郵局	713987
0	布袋大寮郵局	625944
2	新塭郵局	625945
2	過溝郵局	625943
2	郵局	625942
0	平鎮北勢郵局	324961
2	南勢郵局	324973
2	山仔頂郵局	324958
2	廣明郵局	324950
2	郵局	324952
2	金陵郵局	324966
2	高雙郵局	324971
0	延平郵局	953908
0	彌陀郵局	827944
0	彰化中央路郵局	500900
3	庄仔郵局	500912
2	光復路郵局	500923
2	南瑤郵局	500911
3	郭郵局	500913
2	大竹郵局	500921
2	市仔尾郵局	500904
2	師大郵局	500914
2	府前郵局	500903
2	永安街郵局	500920
2	臺化郵局	500909
2	莿桐腳郵局	500915
2	西門郵局	500907
2	過溝仔郵局	500905
0	後壁安溪寮郵局	731974
2	菁寮郵局	731971
2	郵局	731970
1	龍郵局	356913
0	復興郵局	336939
0	恆春南門郵局	946946
2	墾丁郵局	946945
2	郵局	946943
0	成功大學郵局	701907
2	郵局	961921
0	政大郵局	116979
0	文化大學郵局	111925
1	山指南郵局	116971
2	景美郵局	116929
2	木新郵局	116973
2	武功郵局	116993
2	溝子口郵局	116972
2	興隆路郵局	116975
2	萬盛郵局	116997
3	美街郵局	116983
3	芳郵局	116911
0	斗六大崙郵局	640902
2	永安郵局	640905
2	石榴郵局	640903
2	西平路郵局	640900
2	鎮北郵局	640904
1	南新光郵局	630914
2	石龜郵局	630913
2	郵局	630911
0	新化中山路郵局	712988
2	郵局	712985
1	北市政府郵局	220930
1	園烏龍郵局	932966
2	郵局	932965
1	城北埔郵局	971904
2	郵局	971906
1	埔中正郵局	305928
2	郵局	305927
1	埤郵局	925960
1	屋永安郵局	327967
2	郵局	327969
1	市南科園區郵局	744913
2	大營郵局	744907
2	郵局	744910
1	店中央郵局	231950
3	正郵局	231952
2	五城郵局	231944
3	峰郵局	231961
2	公崙郵局	231947
2	十四份郵局	231954
2	大坪林郵局	231945
2	寶橋郵局	231953
2	檳榔路郵局	231948
2	水尾郵局	231960
2	永安郵局	231956
2	玫瑰城郵局	231963
2	碧潭郵局	231958
2	郵局	231941
2	雙城郵局	231957
2	頂城郵局	231942
2	龜山郵局	231943
1	港郵局	616937
1	營太子宮郵局	730973
2	新進路郵局	730966
2	民治路郵局	730967
3	生郵局	730969
2	郵局	730965
1	社中興嶺郵局	426992
2	郵局	426995
1	竹三姓橋郵局	300920
2	光華街郵局	300904
2	內湖路郵局	300905
2	南勢郵局	300926
3	大路郵局	300921
3	寮郵局	300918
2	學府路郵局	300909
2	建中郵局	300924
2	文雅郵局	300914
2	東園郵局	300917
3	門郵局	300901
2	樹林頭郵局	300908
2	武昌街郵局	300900
2	民主路郵局	300916
3	生路郵局	300922
2	牛埔郵局	300911
2	科學園郵局	300919
2	經國路郵局	300923
2	英明街郵局	300906
2	西大路郵局	300915
3	門郵局	300910
2	關東橋郵局	300907
2	陽明交大郵局	300925
2	龍山西路郵局	300903
1	興郵局	800900
1	莊中港郵局	242940
2	丹鳳郵局	242942
